timestamp_s,Fp1,Fp2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4
17.120000,50919.285156,-4577.234863,-8689.441406,-2639.048096,-3802.143555,17430.740234,33181.296875,3544.338379,-40273.375000,-66870.179688,-42878.847656,-68277.609375,-81975.648438,-66966.609375,-46004.382812,-62062.500000
17.128000,50908.691406,-4579.693848,-8694.404297,-2646.133545,-3807.150391,17394.775391,33154.945312,3439.866455,-40275.988281,-66872.867188,-42879.585938,-68273.804688,-81982.289062,-66976.375000,-46012.027344,-62018.492188
17.136000,50925.523438,-4572.116211,-8682.423828,-2631.560303,-3797.449707,17433.802734,33184.382812,3534.548340,-40273.777344,-66868.242188,-42878.828125,-68273.695312,-81976.875000,-66970.859375,-46011.578125,-62085.121094
17.144000,50913.027344,-4576.407715,-8691.833008,-2630.286133,-3800.377686,17406.845703,33162.925781,3457.010254,-40279.296875,-66867.968750,-42879.316406,-68273.648438,-81981.687500,-66968.867188,-46008.851562,-62008.925781
17.152000,50924.136719,-4569.702637,-8687.184570,-2629.839111,-3795.840332,17433.935547,33183.042969,3525.630127,-40283.656250,-66877.132812,-42894.316406,-68276.195312,-81984.164062,-66972.531250,-46018.441406,-62093.996094
17.160000,50929.230469,-4563.555664,-8684.434570,-2628.185059,-3791.906494,17411.539062,33169.230469,3477.439697,-40288.929688,-66882.210938,-42889.578125,-68285.671875,-81997.484375,-66984.132812,-46020.968750,-62009.125000
17.168000,50937.949219,-4553.139648,-8673.371094,-2621.747803,-3784.150391,17439.144531,33193.257812,3516.555176,-40280.570312,-66884.289062,-42894.695312,-68296.359375,-81988.500000,-66985.453125,-46030.757812,-62113.015625
17.176000,50926.371094,-4557.878418,-8681.551758,-2624.854736,-3790.855957,17420.771484,33175.441406,3481.999512,-40281.687500,-66877.359375,-42879.699219,-68286.054688,-81993.062500,-66977.132812,-46016.074219,-62010.109375
17.184000,50933.007812,-4555.732422,-8674.980469,-2619.825684,-3784.753906,17441.402344,33192.585938,3498.316162,-40278.402344,-66883.507812,-42898.855469,-68280.421875,-81987.515625,-66976.601562,-46030.535156,-62121.355469
17.192000,50928.449219,-4554.302246,-8676.477539,-2618.082275,-3782.652832,17429.845703,33184.472656,3505.066406,-40278.648438,-66878.367188,-42879.609375,-68282.429688,-81992.523438,-66972.289062,-46013.347656,-62009.707031
17.200000,50929.566406,-4553.229004,-8671.605469,-2616.450439,-3779.009521,17440.976562,33192.140625,3488.101562,-40278.691406,-66884.421875,-42902.562500,-68284.109375,-81989.062500,-66981.648438,-46033.441406,-62119.140625
17.208000,50924.425781,-4553.832520,-8673.862305,-2615.645752,-3780.507080,17434.449219,33183.757812,3514.364746,-40279.542969,-66873.960938,-42875.609375,-68290.234375,-81993.085938,-66975.750000,-46011.066406,-62015.117188
17.216000,50925.812500,-4552.156250,-8676.633789,-2619.602051,-3778.472900,17430.962891,33184.250000,3466.554443,-40277.484375,-66887.101562,-42901.871094,-68288.539062,-81988.031250,-66986.343750,-46033.148438,-62120.480469
17.224000,50923.285156,-4553.363281,-8680.814453,-2618.618652,-3784.664307,17431.253906,33180.875000,3520.220947,-40282.738281,-66876.039062,-42879.675781,-68281.984375,-81999.093750,-66984.085938,-46014.933594,-62030.738281
17.232000,50921.789062,-4554.637207,-8682.758789,-2617.411621,-3786.005615,17425.621094,33175.488281,3452.450439,-40286.179688,-66886.992188,-42909.136719,-68281.718750,-81995.898438,-66993.632812,-46037.195312,-62122.562500
17.240000,50925.074219,-4553.117188,-8679.696289,-2615.802246,-3785.692627,17435.388672,33181.097656,3528.938232,-40291.878906,-66880.375000,-42890.160156,-68287.531250,-82005.914062,-66995.218750,-46022.867188,-62045.222656
17.248000,50919.976562,-4551.865723,-8679.092773,-2612.628418,-3781.691650,17426.044922,33176.046875,3446.415527,-40287.835938,-66884.062500,-42911.726562,-68281.515625,-81996.593750,-66995.640625,-46040.281250,-62114.113281
17.256000,50924.941406,-4551.731445,-8676.992188,-2614.260010,-3781.020996,17438.316406,33183.132812,3539.108154,-40289.710938,-66881.562500,-42891.253906,-68286.617188,-82004.859375,-66994.414062,-46021.839844,-62053.605469
17.264000,50920.222656,-4549.876465,-8679.003906,-2616.852783,-3783.412842,17419.027344,33170.121094,3436.021973,-40289.421875,-66888.828125,-42911.058594,-68294.304688,-82000.640625,-67000.093750,-46044.125000,-62107.585938
17.272000,50924.179688,-4545.205078,-8678.690430,-2616.897461,-3791.079346,17439.054688,33179.667969,3541.633789,-40295.523438,-66877.671875,-42893.937500,-68280.335938,-82008.726562,-66995.171875,-46034.714844,-62071.667969
17.280000,50917.832031,-4544.601562,-8677.416992,-2616.204590,-3789.090088,17417.484375,33166.414062,3426.522461,-40298.226562,-66886.859375,-42914.878906,-68284.625000,-82010.632812,-66999.242188,-46056.171875,-62103.964844
17.288000,50927.175781,-4543.438965,-8669.772461,-2609.253174,-3779.166016,17450.521484,33190.304688,3545.947754,-40301.894531,-66887.218750,-42903.593750,-68288.601562,-82010.945312,-66993.523438,-46033.953125,-62092.609375
17.296000,50919.128906,-4547.574219,-8673.706055,-2612.471924,-3779.545898,17418.423828,33169.160156,3431.886963,-40299.054688,-66891.039062,-42915.527344,-68285.765625,-82007.609375,-66995.421875,-46046.316406,-62089.859375
17.304000,50925.589844,-4545.093262,-8669.213867,-2614.505859,-3776.304932,17442.876953,33188.585938,3536.537598,-40298.921875,-66894.140625,-42904.171875,-68291.421875,-82008.531250,-67001.570312,-46044.101562,-62110.601562
